rank,university
1,Massachusetts Institute of Technology (MIT)
2,Imperial College London
3,University of Oxford
4,Harvard University
5,University of Cambridge
6,Stanford University
7,ETH Zurich
8,National University of Singapore (NUS)
9,UCL
10,California Institute of Technology (Caltech)
11,University of Pennsylvania
12,University of California Berkeley (UCB)
13,University of Melbourne
14,Peking University
15,Nanyang Technological University Singapore (NTU)
16,Cornell University
17,University of Hong Kong (HKU)
18,University of Sydney
19,University of New South Wales (UNSW Sydney)
20,Tsinghua University
21,University of Chicago
22,Princeton University
23,Yale University
24,Universite PSL
25,University of Toronto
26,EPFL
27,University of Edinburgh
28,Technical University of Munich
29,McGill University
30,Australian National University
32,Seoul National University
32,Johns Hopkins University
32,University of Tokyo
34,Columbia University
34,University of Manchester
36,Chinese University of Hong Kong (CUHK)
37,Monash University
38,University of British Columbia
39,Fudan University
40,King's College London
40,University of Queensland
42,University of California Los Angeles (UCLA)
43,New York University (NYU)
44,University of Michigan-Ann Arbor
45,Shanghai Jiao Tong University
46,Institut Polytechnique de Paris
47,Hong Kong University of Science and Technology (HKUST)
47,Zhejiang University
49,Delft University of Technology
50,Kyoto University
50,Northwestern University
50,London School of Economics and Political Science (LSE)
53,KAIST
54,University of Bristol
55,University of Amsterdam
56,Yonsei University
57,Hong Kong Polytechnic University
58,Carnegie Mellon University
59,Ludwig-Maximilians-Universitat Munchen (LMU Munich)
60,Universiti Malaya (UM)
61,Duke University
62,City University of Hong Kong
63,KU Leuven
63,Sorbonne University
65,University of Auckland
66,University of Texas at Austin
67,Korea University
68,National Taiwan University (NTU)
69,University of Warwick
69,University of Illinois at Urbana-Champaign
71,Universidad de Buenos Aires (UBA)
72,University of California San Diego (UCSD)
73,Universite Paris-Saclay
74,KTH Royal Institute of Technology
75,Lund University
76,University of Washington
77,University of Western Australia
78,University of Glasgow
79,Brown University
80,University of Birmingham
80,University of Southampton
82,University of Adelaide
82,University of Leeds
84,Heidelberg University
84,Tokyo Institute of Technology (Tokyo Tech)
86,Osaka University
87,Trinity College Dublin
88,University of Technology Sydney
89,Durham University
89,Pennsylvania State University
89,Purdue University
92,Universidade de Sao Paulo
93,Pontificia Universidad Catolica de Chile (UC)
94,Lomonosov Moscow State University
94,Universidad Nacional Autonoma de Mexico (UNAM)
96,University of Alberta
97,Freie Universitat Berlin
98,Pohang University of Science and Technology (POSTECH)
99,RWTH Aachen University
100,University of Copenhagen
101,King Fahd University of Petroleum and Minerals
102,Karlsruhe Institute of Technology (KIT)
103,Uppsala University
104,University of St Andrews
105,University of Sheffield
105,Utrecht University
107,Tohoku University
108,University of Nottingham
109,Technical University of Denmark
109,University of Zurich
111,Politecnico di Milano
112,Boston University
113,Aalto University
114,Georgia Institute of Technology
115,University of Waterloo
116,University of Wisconsin-Madison
117,University of Helsinki
118,Indian Institute of Technology Bombay (IITB)
119,University of Oslo
120,Queen Mary University of London
120,Western University
122,Qatar University
123,RMIT University
123,Sungkyunkwan University (SKKU)
125,University of Southern California
126,Humboldt-Universitat zu Berlin
126,University College Dublin
128,Stockholm University
129,Newcastle University
130,University of California Davis
131,University of Basel
132,Sapienza University of Rome
133,University of Bologna
133,Macquarie University
135,Nanjing University
136,Eindhoven University of Technology
137,University of Vienna
138,Universiti Kebangsaan Malaysia (UKM)
139,Chalmers University of Technology
139,Universidad de Chile
141,Lancaster University
141,Leiden University
141,Rice University
144,Aarhus University
145,University of Science and Technology of China
146,Universiti Sains Malaysia (USM)
147,Technische Universitat Berlin (TU Berlin)
148,Universiti Putra Malaysia (UPM)
149,King Abdulaziz University (KAU)
150,Indian Institute of Technology Delhi (IITD)
150,University of Bath
152,Michigan State University
152,Nagoya University
154,Texas A&M University
155,University of Geneva
155,University of North Carolina Chapel Hill
155,Wageningen University and Research
158,Erasmus University Rotterdam
159,Universite de Montreal
159,University of Groningen
161,University of Bern
162,Hanyang University
163,Al-Farabi Kazakh National University
164,Complutense University of Madrid
165,Universitat de Barcelona
165,University of Liverpool
167,Kyushu University
167,University of Wollongong
169,Ghent University
169,University of Exeter
171,University of Cape Town
172,University of Reading
173,Hokkaido University
174,Curtin University
175,Universitat Autonoma de Barcelona
176,McMaster University
176,Washington University in St. Louis
178,University of California Santa Barbara (UCSB)
179,University of Newcastle Australia
179,Universidad de los Andes
181,Universiti Teknologi Malaysia
181,Waseda University
183,Hamad Bin Khalifa University
184,University of York
185,Tecnologico de Monterrey
186,Cardiff University
187,Ecole Normale Superieure de Lyon
188,Keio University
189,University of Ottawa
190,Technische Universitat Wien (TU Wien)
191,Universitat Hamburg
192,Tongji University
193,Queen's University at Kingston
194,University of Gothenburg
194,Wuhan University
196,Emory University
197,Deakin University
198,Universidad Autonoma de Madrid
198,University of Calgary
200,Arizona State University
200,King Saud University
